[3959.0, 16]
[1191.0, 5]
[4549.0, 24]
[23222.0, 60]
[5181.0, 17]
[6056.0, 16]
[2490.0, 10]
[5295.0, 27]
[1187.0, 8]
[2415.0, 10]
[2414.0, 13]
[4156.0, 27]
[1614.0, 8]
[2264.0, 11]
[0.0, 1]
[6519.0, 44]
[495.0, 4]
[11097.0, 36]
[7393.0, 29]
[25865.0, 58]
[1026.0, 4]
[2232.0, 10]
[9094.0, 33]
[14712.0, 45]
[7374.0, 21]
[965.0, 3]
[5844.0, 28]
[3156.0, 10]
[3698.0, 12]
[1991.0, 8]
[1304.0, 4]
[5326.0, 27]
[3312.0, 20]
[1104.0, 6]
[3710.0, 16]
[2992.0, 18]
[1547.0, 13]
[1311.0, 11]
[3300.0, 8]
[11290.0, 15]
[2158.0, 5]
[2066.0, 5]
[2007.0000000000002, 5]
[1777.0, 5]
[3914.0, 6]
[0.0, 1]
[4434.0, 31]
[5915.0, 24]
[403.0, 3]
[9114.0, 25]
[10105.0, 36]
[2174.0, 12]
[3154.0, 12]
[6840.0, 23]
[8055.0, 26]
[3392.0, 11]
[11585.0, 34]
[2353.0, 8]
[9702.0, 10]
[3779.0, 10]
[4554.0, 8]
[4674.0, 21]
[5564.0, 27]
[4231.0, 12]
[3767.0, 10]
[8696.0, 17]
[9478.0, 45]
[6230.0, 24]
[3921.0, 8]
[3948.0, 26]
[2755.0, 10]
[2719.0, 14]
[723.0, 4]
[3648.0, 10]
[1646.0, 7]
[124210.0, 87]
[2271.0, 13]
[1830.0, 12]
[8904.0, 24]
[5269.0, 20]
[5761.0, 22]
[5440.0, 35]
[4400.0, 18]
[1213.0, 6]
[2171.0, 16]
[45790.0, 10]
[959.0, 6]
[1236.0, 10]
[21118.0, 86]
[11106.0, 21]
[20344.0, 61]
[70820.0, 192]
[95807.0, 122]
[1145.0, 6]
[7478.0, 52]
[3128.0, 19]
[12067.0, 31]
[1501.0, 4]
[272.0, 3]
[1143.0, 6]
[589.0, 4]
[4823.0, 26]
[2637.0, 13]
[633.0, 4]
[2957.0, 12]
[1730.0, 15]
[3765.0, 20]
[6813.0, 45]
[878.0, 6]
[6008.0, 26]
[7323.0, 38]
[6084.0, 24]
[2409.0, 11]
[7167.0, 40]
[1440.0, 11]
[2295.0, 16]
[15844.0, 65]
[4308.0, 21]
[1465.0, 6]
[7235.0, 34]
[6247.0, 23]
[2494.0, 15]
[5358.0, 11]
[4027.9999999999995, 15]
[5288.0, 18]
[3945.0, 12]
[4907.0, 24]
[1042.0, 5]
[2319.0, 12]
[0.0, 1]
[1731.0, 9]
[7819.0, 32]
[4391.0, 15]
[1450.0, 11]
[9262.0, 36]
[1126.0, 10]
[10016.0, 36]
[19992.0, 63]
[2732.0, 7]
[6975.0, 30]
[1148.0, 7]
[5513.0, 16]
[4438.0, 12]
[726.0, 6]
[7752.0, 26]
[2908.0, 13]
[9728.0, 28]
[4345.0, 30]
[903.0, 6]
[525.0, 3]
[5200.0, 14]
[576.0, 4]
[1220.0, 6]
[1002.0, 5]
[1600.0, 11]
[12068.0, 46]
[2394.0, 9]
[1649.0, 7]
[520.0, 4]
[7429.0, 29]
[4445.0, 18]
[4363.0, 15]
[4148.0, 21]
[4995.0, 14]
[2730.0, 12]
[813.0, 3]
[3389.0, 18]
[739.0, 7]
[10247.0, 43]
[992.0, 7]
[27847.0, 91]
[10026.0, 13]
[1085.0, 7]
[496.0, 3]
[2221.0, 9]
[4171.0, 9]
[865.0, 4]
[357.0, 3]
[3775.0, 9]
[482.0, 3]
[4188.0, 18]
[5925.0, 20]
[7122.0, 37]
[1242.0, 7]
[7440.0, 36]
[3137.0, 15]
[585.0, 3]
[1186.0, 6]
[607.0, 4]
[6733.0, 22]
[2687.0, 18]
[1666.0, 10]
[1874.0, 11]
[5592.0, 24]
[2716.0, 10]
[2366.0, 9]
[1012.0, 8]
[2200.0, 12]
[22832.0, 97]
[524.0, 3]
[968.0, 4]
[3990.0, 19]
[22671.0, 84]
[4171.0, 20]
[25724.0, 77]
[3673.0, 14]
[9750.0, 44]
[9336.0, 41]
[798.0, 5]
[2266.0, 11]
[3639.0, 27]
[17547.0, 43]
[2581.0, 10]
[2736.0, 16]
[3345.0, 17]
[4823.0, 20]
[12860.0, 50]
[795.0, 6]
[17972.0, 58]
[2136.0, 6]
[5829.0, 32]
[8068.0, 46]
[6419.0, 33]
[2422.0, 18]
[715665.0, 38]
[3754.0, 15]
[2864.0, 12]
[3424.0, 17]
[6853.0, 24]
[3469.0, 24]
[4201.0, 10]
[11200.0, 34]
[4719.0, 14]
[5031.0, 28]
[2976.0, 13]
[10682.0, 55]
[0.0, 1]
[3138.0, 20]
[7237.0, 32]
[1741.0, 9]
[2007.0000000000002, 10]
[15493.0, 67]
[116666.0, 274]
[11603.0, 37]
[45894.0, 132]
[623571.0, 64]
[4506.0, 17]
[16747.0, 22]
[2211.0, 11]
[21029.0, 82]
[0.0, 1]
[0.0, 1]
[0.0, 1]
[0.0, 1]
[0.0, 1]
[6861.0, 21]
[7221.0, 25]
[2918.0, 6]
[0.0, 1]
[6091.0, 28]
[5079.0, 16]
[1096.0, 3]
[17132.0, 62]
[20941.0, 55]
[3506531.0, 58]
[3799.0, 21]
[675.0, 5]
[2607.0, 14]
[11998.0, 50]
[9413.0, 45]
[8344.0, 45]
[4452.0, 22]
[8841.0, 38]
[2735.0, 13]
[807.0, 4]
[1154.0, 10]
[2004.0, 10]
[3335.0, 15]
[5501.0, 31]
[4275.0, 24]
[969.0, 3]
[390.0, 4]
[3506.0, 18]
[6242.0, 25]
[4964.0, 18]
[995.0, 5]
[4783.0, 21]
[15857.0, 7]
[718.0, 4]
[11735.0, 43]
[1832.0, 7]
[6032.0, 15]
[12981.0, 49]
[1689.0, 10]
[1260.0, 9]
[2307.0, 11]
[11847.0, 42]
[4954.0, 23]
